категория,id_категории,название,sku,id_позиции,размер,цена,описание,тип,фото
Печенье ручной работы,03326264-e08b-4bae-b8ca-9ad9ce509523,Печенье Сладкое Предсказание,02726,04ebbc58-6a20-4395-90b4-4e22bd44e66c,,150.0,,Product,
Печенье ручной работы,03326264-e08b-4bae-b8ca-9ad9ce509523,Орешки с кремом 1 шт,02739,4bee976a-60ee-41d5-af99-eb767079061f,,120.0,,Product,
Печенье ручной работы,03326264-e08b-4bae-b8ca-9ad9ce509523,Орешки с кремом набор,02740,bc3150a3-6430-49b0-b3a2-f6d26e28a971,,550.0,,Product,
ФИЛЬТР-КОФЕ,09fd5bb4-619f-43f3-94ca-cbbbafce900e,ФИЛЬТР-КОФЕ 250,00876,97ad2b04-fa2d-4c1d-8e4b-dc8d79bc894f,,220.0,,Product,
ФИЛЬТР-КОФЕ,09fd5bb4-619f-43f3-94ca-cbbbafce900e,ФИЛЬТР-КОФЕ 450,00878,1fb3b98d-86eb-42af-a3e2-b3a390ace727,,300.0,,Product,
ФИЛЬТР-КОФЕ,09fd5bb4-619f-43f3-94ca-cbbbafce900e,ФИЛЬТР-КОФЕ 600,02086,7e25008d-4859-4eeb-be6f-353b47ecf118,,360.0,,Product,
ФИЛЬТР-КОФЕ,09fd5bb4-619f-43f3-94ca-cbbbafce900e,ФИЛЬТР-КОФЕ 350,00877,bb2c94cb-ca82-4c6a-a4ee-2690e9819399,,250.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd, Бабл Ти Тропикано 600,02744,aede40c0-0c3d-49ed-b37f-0fc61ce0be3b,,550.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd, Бабл Ти Тропикано 500,02743,e900e113-1efd-4387-bb58-fef88ba7976f,,450.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd,Балийский закат 500,02557,ffc216c4-c4f3-4878-89f2-94c59bed487d,,450.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd,Молочная Жемчужина 600 Hot,02384,dc05e037-662f-487f-933d-e07a68b4ad13,,550.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd,Балийский закат 600,02558,f750109b-d30a-49c1-af94-4d6017d069a2,,550.0,,Product,
БАБЛ ТИ,0f404f8b-4c08-4285-8823-d18e2716cffd,Молочная Жемчужина 500 Hot,02383,78a930bc-f451-4a0a-b080-b173b115795d,,450.0,,Product,
Сытное,156fa1ce-cd2b-402b-8453-2b4fbfa8c34d,Венские вафли с ветчиной и сыром СП,02682,940d62e1-e2c6-44d0-a794-dbeba2271a3f,,200.0,,Product,
ТОВАР КОФЕЙНЯ,16f773be-ce99-4d8a-bd35-a2f443ac9bf8,КОНФЕТЫ КОКО,00117,2bccaf08-00df-4413-97eb-715a1e17f16c,,70.0,,Product,
ТОВАР КОФЕЙНЯ,16f773be-ce99-4d8a-bd35-a2f443ac9bf8,ИРИСКА,01875,b2ac817f-48aa-4abe-8049-2362bb6c38b5,,90.0,,Product,
ТОВАР КОФЕЙНЯ,16f773be-ce99-4d8a-bd35-a2f443ac9bf8,ОРБИТ/ДИРОЛ ТОВАР,00121,31bdbb14-eb14-44f8-bf21-fe512bffad85,,55.0,,Product,
Арахисовый бум,2af29e04-58c7-41c5-9290-bdf7356d30c2,Арахисовый бум 350,01616,1d349645-1da0-4089-b9a3-06bdf17e20f2,,370.0,,Product,
Арахисовый бум,2af29e04-58c7-41c5-9290-bdf7356d30c2,Арахисовый бум 600,02387,603974ba-ac58-4534-be92-2a936197aaa6,,480.0,,Product,
Арахисовый бум,2af29e04-58c7-41c5-9290-bdf7356d30c2,Арахисовый бум 450,01617,aaadc51e-5794-49a3-936c-8bad07c111ab,,420.0,,Product,
ЗИМА 2025,2dadb67d-c98b-4621-a700-53ecb8188fd1,Раф Мандариновое печенье 600,02720,c53e2d47-15d8-462d-8ae1-5313d3594993,,550.0,,Product,
ЗИМА 2025,2dadb67d-c98b-4621-a700-53ecb8188fd1,Ваниль-Бурбон 450,02717,bf1f0ace-d285-41a6-8138-9c5b61deaf64,,420.0,,Product,
ЗИМА 2025,2dadb67d-c98b-4621-a700-53ecb8188fd1,Хвойный Раф 350,02713,e229619c-bf6d-45d6-a6e7-5d2c4eb05016,,370.0,,Product,
ЗИМА 2025,2dadb67d-c98b-4621-a700-53ecb8188fd1,Ваниль-Бурбон 600,02718,87e440de-7af6-4c39-8769-0c56e2d2bc2a,,480.0,,Product,
ЗИМА 2025,2dadb67d-c98b-4621-a700-53ecb8188fd1,ВИШНЕВЫЙ ГЛИНТВЕЙН 450,01986,01d02886-0ce1-47a5-97ef-25cd7ca27fd3,,360.0,,Product,
